framework,capability,model,n,score,threshold,assumed_m,icc,deff,effective_n,ci_low,ci_high,straddles
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,5,0.5,3.0,14.0,0.089,0.5,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,5,1.0,5.0,8.4,0.0679,0.5726,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,10,0.0,1.0,42.0,0.1348,0.3853,0
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,10,0.05,1.45,29.0,0.1198,0.4177,0
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,10,0.1,1.9,22.1,0.1085,0.4453,0
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,10,0.2,2.8,15.0,0.0919,0.4911,0
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,10,0.3,3.7,11.4,0.0801,0.5285,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,10,0.5,5.5,7.6,0.0642,0.5873,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,10,1.0,10.0,4.2,0.0433,0.6831,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,20,0.0,1.0,42.0,0.1348,0.3853,0
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,20,0.05,1.95,21.5,0.1074,0.4481,0
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,20,0.1,2.9,14.5,0.0904,0.4956,0
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,20,0.2,4.8,8.7,0.0695,0.5665,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,20,0.3,6.7,6.3,0.0568,0.6184,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,20,0.5,10.5,4.0,0.0419,0.6909,1
Anthropic-RSP,swebench_hard,Claude 3.7,42,0.2381,0.5,20,1.0,20.0,2.1,0.0254,0.7895,1
Anthropic-RSP,metr_dedup,Opus 4,46,0.3261,0.2,,0.0,1.0,46.0,0.2087,0.4703,0
Anthropic-RSP,metr_dedup,Sonnet 4,29,0.2759,0.2,,0.0,1.0,29.0,0.147,0.4572,1
Anthropic-RSP,metr_dedup,Claude 3.7,30,0.1333,0.2,,0.0,1.0,30.0,0.0531,0.2968,1
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,5,0.0,1.0,33.0,0.3522,0.675,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,5,0.05,1.2,27.5,0.3383,0.6883,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,5,0.1,1.4,23.6,0.3259,0.7001,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,5,0.2,1.8,18.3,0.3045,0.7206,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,5,0.3,2.2,15.0,0.2864,0.7377,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,5,0.5,3.0,11.0,0.2569,0.7655,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,5,1.0,5.0,6.6,0.2064,0.8128,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,10,0.0,1.0,33.0,0.3522,0.675,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,10,0.05,1.45,22.8,0.323,0.7029,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,10,0.1,1.9,17.4,0.2997,0.7251,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,10,0.2,2.8,11.8,0.2636,0.7592,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,10,0.3,3.7,8.9,0.2363,0.7848,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,10,0.5,5.5,6.0,0.1969,0.8215,1
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,10,1.0,10.0,3.3,0.1404,0.8736,1
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,20,0.0,1.0,33.0,0.3522,0.675,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,20,0.05,1.95,16.9,0.2974,0.7273,0
